lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
35.7155287188,139.7234236206,Tokyo,Japan,Japanese,1955,Tomoji Abe,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/1955%20Tomoji%20Abe.jpg,Jane Eyre,Kodansha,Tokyo. Japan,Abridged; juvenile edition
35.708652312,139.7533070176,Tokyo,Japan,Japanese,1956,Yasuo Okubo,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/1956%20Yasuo%20Okubo.jpg,Jane Eyre,Misaka Shobo,Tokyo. Japan,Okubo's translation was first published in 1949
35.6947578598,139.7579580827,Tokyo,Japan,Japanese,1979,Kenichi Yoshida,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/1979%20Kenichi%20Yoshida.jpg,Jane Eyre,Shueisha,Tokyo. Japan,Yoshida's translation was first published in 1968
34.9680382855,135.7461865361,Tokyo,Japan,Japanese,2002,Yasuo Tanaka,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/2002%20Yasuo%20Tanaka.jpg,Jane Eyre,Kyoto Shugakusha,Tokyo. Japan,
35.6914217178,139.6915768334,Tokyo,Japan,Japanese,2007,Akiko Minami,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/2007%20Akiko%20Minami.jpg,Jane Eyre,HQ Fast Fiction,Tokyo. Japan,Abridged; 'Harlequin Romance'
35.7014723503,139.7042065914,Tokyo,Japan,Japanese,2012,Yasuo Okubo,https://raw.githubusercontent.com/digitalkoine/japanese_storymap/main/japanese/2012%20Yasuo%20Okubo.jpg,Jane Eyre,Shinchosha,Tokyo. Japan,Reprint of 1949 edition
