lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
35.7155287188,139.7234236206,Tokyo,Japan,Japanese,1955,Tomoji Abe,Jane Eyre,Kodansha,Tokyo. Japan,Abridged; juvenile edition
35.708652312,139.7533070176,Tokyo,Japan,Japanese,1956,Yasuo Okubo,Jane Eyre,Misaka Shobo,Tokyo. Japan,Reprint of 1949 edition
35.6947578598,139.7579580827,Tokyo,Japan,Japanese,1979,Kenichi Yoshida,Jane Eyre,Shueisha,Tokyo. Japan,Reprint of 1968 edition
34.9680382855,135.7461865361,Tokyo,Japan,Japanese,2002,Yasuo Tanaka,Jane Eyre,Kyoto Shugakusha,Tokyo. Japan,
35.6914217178,139.6915768334,Tokyo,Japan,Japanese,2007,Akiko Minami,Jane Eyre,HQ Fast Fiction,Tokyo. Japan,Abridge; 'Harlequin romance'
35.7014723503,139.7042065914,Tokyo,Japan,Japanese,2012,Yasuo Okubo,Jane Eyre,Shinchosha,Tokyo. Japan,Reprint of 1949 edition
